Grapheme	IPA
nīng$	n i ŋ ⁵⁵
níng$	n i ŋ ³⁵
nǐng$	n i ŋ ²¹⁴
nìng$	n i ŋ ⁵¹
nong$	n ʊ ŋ ⁰
nōng$	n ʊ ŋ ⁵⁵
nóng$	n ʊ ŋ ³⁵
nǒng$	n ʊ ŋ ²¹⁴
nòng$	n ʊ ŋ ⁵¹
nuān$	n w a n ⁵⁵
nuán$	n w a n ³⁵
nuǎn$	n w a n ²¹⁴
nuàn$	n w a n ⁵¹
nuō$	n w ɔ ⁵⁵
nuó$	n w ɔ ³⁵
nuǒ$	n w ɔ ²¹⁴
nuò$	n w ɔ ⁵¹
nū$	n u ⁵⁵
nú$	n u ³⁵
nǔ$	n u ²¹⁴
nù$	n u ⁵¹
ōu$	ɔu ⁵⁵
óu$	ɔu ³⁵
ǒu$	ɔu ²¹⁴
òu$	ɔu ⁵¹
pā$	pʰ a ⁵⁵
pá$	pʰ a ³⁵
pǎ$	pʰ a ²¹⁴
pà$	pʰ a ⁵¹
pāi$	pʰ ai ⁵⁵
pái$	pʰ ai ³⁵
pǎi$	pʰ ai ²¹⁴
pài$	pʰ ai ⁵¹
pān$	pʰ a n ⁵⁵
pán$	pʰ a n ³⁵
pǎn$	pʰ a n ²¹⁴
pàn$	pʰ a n ⁵¹
pāng$	pʰ a ŋ ⁵⁵
páng$	pʰ a ŋ ³⁵
pǎng$	pʰ a ŋ ²¹⁴
pàng$	pʰ a ŋ ⁵¹
pāo$	pʰ au ⁵⁵
páo$	pʰ au ³⁵
pǎo$	pʰ au ²¹⁴
pào$	pʰ au ⁵¹
peng$	pʰ ə ŋ ⁰
pēi$	pʰ əi ⁵⁵
péi$	pʰ əi ³⁵
pěi$	pʰ əi ²¹⁴
pèi$	pʰ əi ⁵¹
pēn$	pʰ ə n ⁵⁵
pén$	pʰ ə n ³⁵
pěn$	pʰ ə n ²¹⁴
pèn$	pʰ ə n ⁵¹
pēng$	pʰ ə ŋ ⁵⁵
péng$	pʰ ə ŋ ³⁵
pěng$	pʰ ə ŋ ²¹⁴
pèng$	pʰ ə ŋ ⁵¹
piān$	pʰ j ɛ n ⁵⁵
pián$	pʰ j ɛ n ³⁵
piǎn$	pʰ j ɛ n ²¹⁴
piàn$	pʰ j ɛ n ⁵¹
pī$	pʰ i ⁵⁵
pí$	pʰ i ³⁵
pǐ$	pʰ i ²¹⁴
pì$	pʰ i ⁵¹
pīn$	pʰ i n ⁵⁵
pín$	pʰ i n ³⁵
pǐn$	pʰ i n ²¹⁴
pìn$	pʰ i n ⁵¹
pīng$	pʰ i ŋ ⁵⁵
píng$	pʰ i ŋ ³⁵
pǐng$	pʰ i ŋ ²¹⁴
pìng$	pʰ i ŋ ⁵¹
po$	pʰ w ɔ ⁰
pō$	pʰ w ɔ ⁵⁵
pó$	pʰ w ɔ ³⁵
pǒ$	pʰ w ɔ ²¹⁴
pò$	pʰ w ɔ ⁵¹
pū$	pʰ u ⁵⁵
pú$	pʰ u ³⁵
pǔ$	pʰ u ²¹⁴
pù$	pʰ u ⁵¹
qi$	tɕʰ ⁰
qian$	tɕʰ j ɛ n ⁰
qiā$	tɕʰ j a ⁵⁵
qiá$	tɕʰ j a ³⁵
qiǎ$	tɕʰ j a ²¹⁴
qià$	tɕʰ j a ⁵¹
qiān$	tɕʰ j ɛ n ⁵⁵
qián$	tɕʰ j ɛ n ³⁵
qiǎn$	tɕʰ j ɛ n ²¹⁴
qiàn$	tɕʰ j ɛ n ⁵¹
qiāng$	tɕʰ j a ŋ ⁵⁵
qiáng$	tɕʰ j a ŋ ³⁵
qiǎng$	tɕʰ j a ŋ ²¹⁴
qiàng$	tɕʰ j a ŋ ⁵¹
qiāo$	tɕʰ j au ⁵⁵
qiáo$	tɕʰ j au ³⁵
qiǎo$	tɕʰ j au ²¹⁴
qiào$	tɕʰ j au ⁵¹
qiē$	tɕʰ j ə ⁵⁵
qié$	tɕʰ j ə ³⁵
qiě$	tɕʰ j ə ²¹⁴
qiè$	tɕʰ j ə ⁵¹
qin$	tɕʰ i n ⁰
qing$	tɕʰ i ŋ ⁰
qiōng$	tɕʰ j ʊ ŋ ⁵⁵
qióng$	tɕʰ j ʊ ŋ ³⁵
qiǒng$	tɕʰ j ʊ ŋ ²¹⁴
qiòng$	tɕʰ j ʊ ŋ ⁵¹
qiū$	tɕʰ j ɔu ⁵⁵
qiú$	tɕʰ j ɔu ³⁵
qiǔ$	tɕʰ j ɔu ²¹⁴
qiù$	tɕʰ j ɔu ⁵¹
qī$	tɕʰ i ⁵⁵
qí$	tɕʰ i ³⁵
qǐ$	tɕʰ i ²¹⁴
qì$	tɕʰ i ⁵¹
qīn$	tɕʰ i n ⁵⁵
qín$	tɕʰ i n ³⁵
qǐn$	tɕʰ i n ²¹⁴
qìn$	tɕʰ i n ⁵¹
qīng$	tɕʰ i ŋ ⁵⁵
qíng$	tɕʰ i ŋ ³⁵
qǐng$	tɕʰ i ŋ ²¹⁴
qìng$	tɕʰ i ŋ ⁵¹
quān$	tɕʰ ɥ ɛ n ⁵⁵
quán$	tɕʰ ɥ ɛ n ³⁵
quǎn$	tɕʰ ɥ ɛ n ²¹⁴
quàn$	tɕʰ ɥ ɛ n ⁵¹
quē$	tɕʰ ɥ ə ⁵⁵
qué$	tɕʰ ɥ ə ³⁵
quě$	tɕʰ ɥ ə ²¹⁴
què$	tɕʰ ɥ ə ⁵¹
qū$	tɕʰ y ⁵⁵
qú$	tɕʰ y ³⁵
qǔ$	tɕʰ y ²¹⁴
qù$	tɕʰ y ⁵¹
qūn$	tɕʰ y n ⁵⁵
qún$	tɕʰ y n ³⁵
qǔn$	tɕʰ y n ²¹⁴
qùn$	tɕʰ y n ⁵¹
rān$	ʐ a n ⁵⁵
rán$	ʐ a n ³⁵
rǎn$	ʐ a n ²¹⁴
ràn$	ʐ a n ⁵¹
rāo$	ʐ au ⁵⁵
ráo$	ʐ au ³⁵
rǎo$	ʐ au ²¹⁴
rào$	ʐ au ⁵¹
rē$	ʐ ə ⁵⁵
ré$	ʐ ə ³⁵
rě$	ʐ ə ²¹⁴
rè$	ʐ ə ⁵¹
rēn$	ʐ ə n ⁵⁵
rén$	ʐ ə n ³⁵
rěn$	ʐ ə n ²¹⁴
rèn$	ʐ ə n ⁵¹
rēng$	ʐ ə ŋ ⁵⁵
réng$	ʐ ə ŋ ³⁵
rěng$	ʐ ə ŋ ²¹⁴
rèng$	ʐ ə ŋ ⁵¹
rī$	ʐ ʅ ⁵⁵
rí$	ʐ ʅ ³⁵
rǐ$	ʐ ʅ ²¹⁴
rì$	ʐ ʅ ⁵¹
rōng$	ʐ ʊ ŋ ⁵⁵
róng$	ʐ ʊ ŋ ³⁵
rǒng$	ʐ ʊ ŋ ²¹⁴
ròng$	ʐ ʊ ŋ ⁵¹
rōu$	ʐ ɔu ⁵⁵
róu$	ʐ ɔu ³⁵
rǒu$	ʐ ɔu ²¹⁴
ròu$	ʐ ɔu ⁵¹
ruān$	ʐ w a n ⁵⁵
ruán$	ʐ w a n ³⁵
ruǎn$	ʐ w a n ²¹⁴
ruàn$	ʐ w a n ⁵¹
ruō$	ʐ w ɔ ⁵⁵
ruó$	ʐ w ɔ ³⁵
ruǒ$	ʐ w ɔ ²¹⁴
ruò$	ʐ w ɔ ⁵¹
rū$	ʐ u ⁵⁵
rú$	ʐ u ³⁵
rǔ$	ʐ u ²¹⁴
rù$	ʐ u ⁵¹
sāi$	s ai ⁵⁵
sái$	s ai ³⁵
sǎi$	s ai ²¹⁴
sài$	s ai ⁵¹
sān$	s a n ⁵⁵
sán$	s a n ³⁵
sǎn$	s a n ²¹⁴
sàn$	s a n ⁵¹
sāo$	s au ⁵⁵
sáo$	s au ³⁵
sǎo$	s au ²¹⁴
sào$	s au ⁵¹
sē$	s ə ⁵⁵
sé$	s ə ³⁵
sě$	s ə ²¹⁴
sè$	s ə ⁵¹
sēn$	s ə n ⁵⁵
sén$	s ə n ³⁵
sěn$	s ə n ²¹⁴
sèn$	s ə n ⁵¹
shang$	ʂ a ŋ ⁰
shā$	ʂ a ⁵⁵
shá$	ʂ a ³⁵
shǎ$	ʂ a ²¹⁴
shà$	ʂ a ⁵¹
shāi$	ʂ ai ⁵⁵
shái$	ʂ ai ³⁵
shǎi$	ʂ ai ²¹⁴
shài$	ʂ ai ⁵¹
shān$	ʂ a n ⁵⁵
shán$	ʂ a n ³⁵
shǎn$	ʂ a n ²¹⁴
shàn$	ʂ a n ⁵¹
shāng$	ʂ a ŋ ⁵⁵
sháng$	ʂ a ŋ ³⁵
shǎng$	ʂ a ŋ ²¹⁴
shàng$	ʂ a ŋ ⁵¹
shāo$	ʂ au ⁵⁵
sháo$	ʂ au ³⁵
shǎo$	ʂ au ²¹⁴
shào$	ʂ au ⁵¹
sheng$	ʂ ə ŋ ⁰
shē$	ʂ ə ⁵⁵
shé$	ʂ ə ³⁵
shě$	ʂ ə ²¹⁴
shè$	ʂ ə ⁵¹
shēn$	ʂ ə n ⁵⁵
shén$	ʂ ə n ³⁵
shěn$	ʂ ə n ²¹⁴
shèn$	ʂ ə n ⁵¹
shēng$	ʂ ə ŋ ⁵⁵
shéng$	ʂ ə ŋ ³⁵
shěng$	ʂ ə ŋ ²¹⁴
shèng$	ʂ ə ŋ ⁵¹
shēnɡ$	ʂ ə ŋ ⁵⁵
shénɡ$	ʂ ə ŋ ³⁵
shěnɡ$	ʂ ə ŋ ²¹⁴
shènɡ$	ʂ ə ŋ ⁵¹
shi$	ʂ ʅ ⁰
shī$	ʂ ʅ ⁵⁵
shí$	ʂ ʅ ³⁵
shǐ$	ʂ ʅ ²¹⁴
shì$	ʂ ʅ ⁵¹
shōu$	ʂ ɔu ⁵⁵
shóu$	ʂ ɔu ³⁵
shǒu$	ʂ ɔu ²¹⁴
shòu$	ʂ ɔu ⁵¹
shuā$	ʂ w a ⁵⁵
shuá$	ʂ w a ³⁵
shuǎ$	ʂ w a ²¹⁴
shuà$	ʂ w a ⁵¹
shuān$	ʂ w a n ⁵⁵
shuán$	ʂ w a n ³⁵
shuǎn$	ʂ w a n ²¹⁴
shuàn$	ʂ w a n ⁵¹
shuāng$	ʂ w a ŋ ⁵⁵
shuáng$	ʂ w a ŋ ³⁵
shuǎng$	ʂ w a ŋ ²¹⁴
shuàng$	ʂ w a ŋ ⁵¹
shuī$	ʂ w əi ⁵⁵
shuí$	ʂ w əi ³⁵
shuǐ$	ʂ w əi ²¹⁴
shuì$	ʂ w əi ⁵¹
shuō$	ʂ w ɔ ⁵⁵
shuó$	ʂ w ɔ ³⁵
shuǒ$	ʂ w ɔ ²¹⁴
shuò$	ʂ w ɔ ⁵¹
shū$	ʂ u ⁵⁵
shú$	ʂ u ³⁵
shǔ$	ʂ u ²¹⁴
shù$	ʂ u ⁵¹
sī$	s ɿ ⁵⁵
sí$	s ɿ ³⁵
sǐ$	s ɿ ²¹⁴
sì$	s ɿ ⁵¹
sōng$	s ʊ ŋ ⁵⁵
sóng$	s ʊ ŋ ³⁵
sǒng$	s ʊ ŋ ²¹⁴
sòng$	s ʊ ŋ ⁵¹
suān$	s w a n ⁵⁵
suán$	s w a n ³⁵
suǎn$	s w a n ²¹⁴
suàn$	s w a n ⁵¹
suī$	s w əi ⁵⁵
suí$	s w əi ³⁵
suǐ$	s w əi ²¹⁴
suì$	s w əi ⁵¹
suō$	s w ɔ ⁵⁵
suó$	s w ɔ ³⁵
suǒ$	s w ɔ ²¹⁴
suò$	s w ɔ ⁵¹
sū$	s u ⁵⁵
sú$	s u ³⁵
sǔ$	s u ²¹⁴
sù$	s u ⁵¹
sūn$	s ʊ n ⁵⁵
sún$	s ʊ n ³⁵
sǔn$	s ʊ n ²¹⁴
sùn$	s ʊ n ⁵¹
tao$	tʰ au ⁰
tā$	tʰ a ⁵⁵
tá$	tʰ a ³⁵
tǎ$	tʰ a ²¹⁴
tà$	tʰ a ⁵¹
tāi$	tʰ ai ⁵⁵
tái$	tʰ ai ³⁵
tǎi$	tʰ ai ²¹⁴
tài$	tʰ ai ⁵¹
tān$	tʰ a n ⁵⁵
tán$	tʰ a n ³⁵
tǎn$	tʰ a n ²¹⁴
tàn$	tʰ a n ⁵¹
tāng$	tʰ a ŋ ⁵⁵
táng$	tʰ a ŋ ³⁵
tǎng$	tʰ a ŋ ²¹⁴
tàng$	tʰ a ŋ ⁵¹
tāo$	tʰ au ⁵⁵
táo$	tʰ au ³⁵
tǎo$	tʰ au ²¹⁴
tào$	tʰ au ⁵¹
tēng$	tʰ ə ŋ ⁵⁵
téng$	tʰ ə ŋ ³⁵
těng$	tʰ ə ŋ ²¹⁴
tèng$	tʰ ə ŋ ⁵¹
tiān$	tʰ j ɛ n ⁵⁵
tián$	tʰ j ɛ n ³⁵
tiǎn$	tʰ j ɛ n ²¹⁴
tiàn$	tʰ j ɛ n ⁵¹
tiāo$	tʰ j au ⁵⁵
tiáo$	tʰ j au ³⁵
tiǎo$	tʰ j au ²¹⁴
tiào$	tʰ j au ⁵¹
tiē$	tʰ j ə ⁵⁵
tié$	tʰ j ə ³⁵
tiě$	tʰ j ə ²¹⁴
tiè$	tʰ j ə ⁵¹
tī$	tʰ i ⁵⁵
tí$	tʰ i ³⁵
tǐ$	tʰ i ²¹⁴
tì$	tʰ i ⁵¹
tīng$	tʰ i ŋ ⁵⁵
tíng$	tʰ i ŋ ³⁵
tǐng$	tʰ i ŋ ²¹⁴
tìng$	tʰ i ŋ ⁵¹
tou$	tʰ ɔu ⁰
tōng$	tʰ ʊ ŋ ⁵⁵
tóng$	tʰ ʊ ŋ ³⁵
tǒng$	tʰ ʊ ŋ ²¹⁴
tòng$	tʰ ʊ ŋ ⁵¹
tōu$	tʰ ɔu ⁵⁵
tóu$	tʰ ɔu ³⁵
tǒu$	tʰ ɔu ²¹⁴
tòu$	tʰ ɔu ⁵¹
tuān$	tʰ w a n ⁵⁵
tuán$	tʰ w a n ³⁵
tuǎn$	tʰ w a n ²¹⁴
tuàn$	tʰ w a n ⁵¹
tuī$	tʰ w əi ⁵⁵
tuí$	tʰ w əi ³⁵
tuǐ$	tʰ w əi ²¹⁴
tuì$	tʰ w əi ⁵¹
tuo$	tʰ w ɔ ⁰
tuō$	tʰ w ɔ ⁵⁵
tuó$	tʰ w ɔ ³⁵
tuǒ$	tʰ w ɔ ²¹⁴
tuò$	tʰ w ɔ ⁵¹
tū$	tʰ u ⁵⁵
tú$	tʰ u ³⁵
tǔ$	tʰ u ²¹⁴
tù$	tʰ u ⁵¹
tūn$	tʰ ʊ n ⁵⁵
tún$	tʰ ʊ n ³⁵
tǔn$	tʰ ʊ n ²¹⁴
tùn$	tʰ ʊ n ⁵¹
wā$	w a ⁵⁵
wá$	w a ³⁵
wǎ$	w a ²¹⁴
wà$	w a ⁵¹
wāi$	w ai ⁵⁵
wái$	w ai ³⁵
wǎi$	w ai ²¹⁴
wài$	w ai ⁵¹
wān$	w a n ⁵⁵
wán$	w a n ³⁵
wǎn$	w a n ²¹⁴
wàn$	w a n ⁵¹
wāng$	w a ŋ ⁵⁵
wáng$	w a ŋ ³⁵
wǎng$	w a ŋ ²¹⁴
wàng$	w a ŋ ⁵¹
wēi$	w əi ⁵⁵
wéi$	w əi ³⁵
wěi$	w əi ²¹⁴
wèi$	w əi ⁵¹
wēn$	w ə n ⁵⁵
wén$	w ə n ³⁵
wěn$	w ə n ²¹⁴
wèn$	w ə n ⁵¹
wō$	w ɔ ⁵⁵
wó$	w ɔ ³⁵
wǒ$	w ɔ ²¹⁴
wò$	w ɔ ⁵¹
wū$	w u ⁵⁵
wú$	w u ³⁵
wǔ$	w u ²¹⁴
wù$	w u ⁵¹
xi$	ɕ i ⁰
xiā$	ɕ j a ⁵⁵
xiá$	ɕ j a ³⁵
xiǎ$	ɕ j a ²¹⁴
xià$	ɕ j a ⁵¹
xiān$	ɕ j ɛ n ⁵⁵
xián$	ɕ j ɛ n ³⁵
xiǎn$	ɕ j ɛ n ²¹⁴
xiàn$	ɕ j ɛ n ⁵¹
xiāng$	ɕ j a ŋ ⁵⁵
xiáng$	ɕ j a ŋ ³⁵
xiǎng$	ɕ j a ŋ ²¹⁴
xiàng$	ɕ j a ŋ ⁵¹
xiāo$	ɕ j au ⁵⁵
xiáo$	ɕ j au ³⁵
xiǎo$	ɕ j au ²¹⁴
xiào$	ɕ j au ⁵¹
xiē$	ɕ j ə ⁵⁵
xié$	ɕ j ə ³⁵
xiě$	ɕ j ə ²¹⁴
xiè$	ɕ j ə ⁵¹
xiōng$	ɕ j ʊ ŋ ⁵⁵
xióng$	ɕ j ʊ ŋ ³⁵
xiǒng$	ɕ j ʊ ŋ ²¹⁴
xiòng$	ɕ j ʊ ŋ ⁵¹
xiū$	ɕ j ɔu ⁵⁵
xiú$	ɕ j ɔu ³⁵
xiǔ$	ɕ j ɔu ²¹⁴
xiù$	ɕ j ɔu ⁵¹
xī$	ɕ i ⁵⁵
xí$	ɕ i ³⁵
xǐ$	ɕ i ²¹⁴
xì$	ɕ i ⁵¹
xīn$	ɕ i n ⁵⁵
xín$	ɕ i n ³⁵
xǐn$	ɕ i n ²¹⁴
xìn$	ɕ i n ⁵¹
xīng$	ɕ i ŋ ⁵⁵
xíng$	ɕ i ŋ ³⁵
xǐng$	ɕ i ŋ ²¹⁴
xìng$	ɕ i ŋ ⁵¹
xu$	ɕ y ⁰
xuān$	ɕ ɥ ɛ n ⁵⁵
xuán$	ɕ ɥ ɛ n ³⁵
xuǎn$	ɕ ɥ ɛ n ²¹⁴
xuàn$	ɕ ɥ ɛ n ⁵¹
xuē$	ɕ ɥ ə ⁵⁵
xué$	ɕ ɥ ə ³⁵
xuě$	ɕ ɥ ə ²¹⁴
xuè$	ɕ ɥ ə ⁵¹
xū$	ɕ y ⁵⁵
xú$	ɕ y ³⁵
xǔ$	ɕ y ²¹⁴
xù$	ɕ y ⁵¹
xūn$	ɕ y n ⁵⁵
xún$	ɕ y n ³⁵
xǔn$	ɕ y n ²¹⁴
xùn$	ɕ y n ⁵¹
yā$	j a ⁵⁵
yá$	j a ³⁵
yǎ$	j a ²¹⁴
yà$	j a ⁵¹
yān$	j a n ⁵⁵
yán$	j a n ³⁵
yǎn$	j a n ²¹⁴
yàn$	j a n ⁵¹
yāng$	j a ŋ ⁵⁵
yáng$	j a ŋ ³⁵
yǎng$	j a ŋ ²¹⁴
yàng$	j a ŋ ⁵¹
yāo$	j au ⁵⁵
yáo$	j au ³⁵
yǎo$	j au ²¹⁴
yào$	j au ⁵¹
yē$	j ə ⁵⁵
yé$	j ə ³⁵
yě$	j ə ²¹⁴
yè$	j ə ⁵¹
yi$	j i ⁰
ying$	j i ŋ ⁰
yī$	j i ⁵⁵
yí$	j i ³⁵
yǐ$	j i ²¹⁴
yì$	j i ⁵¹
yīn$	j i n ⁵⁵
yín$	j i n ³⁵
yǐn$	j i n ²¹⁴
yìn$	j i n ⁵¹
yīng$	j i ŋ ⁵⁵
yíng$	j i ŋ ³⁵
yǐng$	j i ŋ ²¹⁴
yìng$	j i ŋ ⁵¹
you$	j ɔu ⁰
yōng$	j ʊ ŋ ⁵⁵
yóng$	j ʊ ŋ ³⁵
yǒng$	j ʊ ŋ ²¹⁴
yòng$	j ʊ ŋ ⁵¹
yōu$	j ɔu ⁵⁵
yóu$	j ɔu ³⁵
yǒu$	j ɔu ²¹⁴
yòu$	j ɔu ⁵¹
yuān$	ɥ ɛ n ⁵⁵
yuán$	ɥ ɛ n ³⁵
yuǎn$	ɥ ɛ n ²¹⁴
yuàn$	ɥ ɛ n ⁵¹
yuē$	ɥ ə ⁵⁵
yué$	ɥ ə ³⁵
yuě$	ɥ ə ²¹⁴
yuè$	ɥ ə ⁵¹
yū$	ɥ y ⁵⁵
yú$	ɥ y ³⁵
yǔ$	ɥ y ²¹⁴
yù$	ɥ y ⁵¹
yūn$	ɥ y n ⁵⁵
yún$	ɥ y n ³⁵
yǔn$	ɥ y n ²¹⁴
yùn$	ɥ y n ⁵¹
zao$	ts au ⁰
zāi$	ts ai ⁵⁵
zái$	ts ai ³⁵
zǎi$	ts ai ²¹⁴
zài$	ts ai ⁵¹
zān$	ts a n ⁵⁵
zán$	ts a n ³⁵
zǎn$	ts a n ²¹⁴
zàn$	ts a n ⁵¹
zāng$	ts a ŋ ⁵⁵
záng$	ts a ŋ ³⁵
zǎng$	ts a ŋ ²¹⁴
zàng$	ts a ŋ ⁵¹
zāo$	ts au ⁵⁵
záo$	ts au ³⁵
zǎo$	ts au ²¹⁴
zào$	ts au ⁵¹
zē$	ts ə ⁵⁵
zé$	ts ə ³⁵
zě$	ts ə ²¹⁴
zè$	ts ə ⁵¹
zhā$	ʈʂ a ⁵⁵
zhá$	ʈʂ a ³⁵
zhǎ$	ʈʂ a ²¹⁴
zhà$	ʈʂ a ⁵¹
zhāi$	ʈʂ ai ⁵⁵
zhái$	ʈʂ ai ³⁵
zhǎi$	ʈʂ ai ²¹⁴
zhài$	ʈʂ ai ⁵¹
zhān$	ʈʂ a n ⁵⁵
zhán$	ʈʂ a n ³⁵
zhǎn$	ʈʂ a n ²¹⁴
zhàn$	ʈʂ a n ⁵¹
zhāng$	ʈʂ a ŋ ⁵⁵
zháng$	ʈʂ a ŋ ³⁵
zhǎng$	ʈʂ a ŋ ²¹⁴
zhàng$	ʈʂ a ŋ ⁵¹
zhāo$	ʈʂ au ⁵⁵
zháo$	ʈʂ au ³⁵
zhǎo$	ʈʂ au ²¹⁴
zhào$	ʈʂ au ⁵¹
zhe$	ʈʂ ə ⁰
zhē$	ʈʂ ə ⁵⁵
zhé$	ʈʂ ə ³⁵
zhě$	ʈʂ ə ²¹⁴
zhè$	ʈʂ ə ⁵¹
zhēn$	ʈʂ ə n ⁵⁵
zhén$	ʈʂ ə n ³⁵
zhěn$	ʈʂ ə n ²¹⁴
zhèn$	ʈʂ ə n ⁵¹
zhēng$	ʈʂ ə ŋ ⁵⁵
zhéng$	ʈʂ ə ŋ ³⁵
zhěng$	ʈʂ ə ŋ ²¹⁴
zhèng$	ʈʂ ə ŋ ⁵¹
zhi$	ʈʂ ʅ ⁰
zhī$	ʈʂ ʅ ⁵⁵
zhí$	ʈʂ ʅ ³⁵
zhǐ$	ʈʂ ʅ ²¹⁴
zhì$	ʈʂ ʅ ⁵¹
zhou$	ʈʂ ɔu ⁰
zhōng$	ʈʂ ʊ ŋ ⁵⁵
zhóng$	ʈʂ ʊ ŋ ³⁵
zhǒng$	ʈʂ ʊ ŋ ²¹⁴
zhòng$	ʈʂ ʊ ŋ ⁵¹
zhōu$	ʈʂ ɔu ⁵⁵
zhóu$	ʈʂ ɔu ³⁵
zhǒu$	ʈʂ ɔu ²¹⁴
zhòu$	ʈʂ ɔu ⁵¹
zhuā$	ʈʂ w a ⁵⁵
zhuá$	ʈʂ w a ³⁵
zhuǎ$	ʈʂ w a ²¹⁴
zhuà$	ʈʂ w a ⁵¹
zhuān$	ʈʂ w a n ⁵⁵
zhuán$	ʈʂ w a n ³⁵
zhuǎn$	ʈʂ w a n ²¹⁴
zhuàn$	ʈʂ w a n ⁵¹
zhuāng$	ʈʂ w a ŋ ⁵⁵
zhuáng$	ʈʂ w a ŋ ³⁵
zhuǎng$	ʈʂ w a ŋ ²¹⁴
zhuàng$	ʈʂ w a ŋ ⁵¹
zhuī$	ʈʂ w əi ⁵⁵
zhuí$	ʈʂ w əi ³⁵
zhuǐ$	ʈʂ w əi ²¹⁴
zhuì$	ʈʂ w əi ⁵¹
zhuō$	ʈʂ w ɔ ⁵⁵
zhuó$	ʈʂ w ɔ ³⁵
zhuǒ$	ʈʂ w ɔ ²¹⁴
zhuò$	ʈʂ w ɔ ⁵¹
zhū$	ʈʂ u ⁵⁵
zhú$	ʈʂ u ³⁵
zhǔ$	ʈʂ u ²¹⁴
zhù$	ʈʂ u ⁵¹
zhūn$	ʈʂ ʊ n ⁵⁵
zhún$	ʈʂ ʊ n ³⁵
zhǔn$	ʈʂ ʊ n ²¹⁴
zhùn$	ʈʂ ʊ n ⁵¹
zi$	ts ɿ ⁰
zī$	ts ɿ ⁵⁵
zí$	ts ɿ ³⁵
zǐ$	ts ɿ ²¹⁴
zì$	ts ɿ ⁵¹
zōng$	ts ʊ ŋ ⁵⁵
zóng$	ts ʊ ŋ ³⁵
zǒng$	ts ʊ ŋ ²¹⁴
zòng$	ts ʊ ŋ ⁵¹
zōu$	ts ɔu ⁵⁵
zóu$	ts ɔu ³⁵
zǒu$	ts ɔu ²¹⁴
zòu$	ts ɔu ⁵¹
zuān$	ts w a n ⁵⁵
zuán$	ts w a n ³⁵
zuǎn$	ts w a n ²¹⁴
zuàn$	ts w a n ⁵¹
zuī$	ts w əi ⁵⁵
zuí$	ts w əi ³⁵
zuǐ$	ts w əi ²¹⁴
zuì$	ts w əi ⁵¹
zuō$	ts w ɔ ⁵⁵
zuó$	ts w ɔ ³⁵
zuǒ$	ts w ɔ ²¹⁴
zuò$	ts w ɔ ⁵¹
zū$	ts u ⁵⁵
zú$	ts u ³⁵
zǔ$	ts u ²¹⁴
zù$	ts u ⁵¹
